location,numRuns,meanVal,streamflowRechargeScalar,thisFrcAreaUnderCult,thisFrcCultAreaWthIrr,thisWplant,runoffRatio,initialSoilMoisture,effectiveIrrigationRatio,recentHistoricSlope,rescaledRecentHistoricSlope,rechScalar
,,,,,,,,,,,,
Bergen Park,1,-34.6542217591899,0.0528930538492289,0.827822832189645,0.118527760449158,531.826015807018,0.08,120,0.85,4.35268049679272,36.7228780860985,1
Bergen Park,2,-23.442159751459,0.0532075191184751,0.823253275109171,0.115731441048035,526.507755648948,0.0792,120.6,0.852125,4.35268049679272,37.6101814457327,1.05
Bergen Park,3,-12.0035511208861,0.0535235567140675,0.818695141921398,0.112942112445415,521.242678092458,0.078408,121.203,0.8542553125,4.35268049679272,38.5390391816549,1.1025
Bergen Park,4,-0.317104053964755,0.0538411744976378,0.814148404066595,0.110159757164301,516.030251311534,0.07762392,121.809015,0.85639095078125,4.35268049679272,39.5124372896063,1.157625
Glencoe,1,551.245275454155,0.0560387614266259,0.720496894409938,0.041407867494824,532.46878660872,0.08,120,0.85,4.03578727265177,97.4642626345403,1
Glencoe,2,334.251106160382,0.0465423657912326,0.727298136645963,0.0465113871635611,537.793474474807,0.092,117,0.84575,4.03578727265177,86.7698754814514,0.95
Glencoe,3,176.747899824114,0.0386128754356792,0.734116381987578,0.05162766563147,543.171409219555,0.1043,114.075,0.84152125,4.03578727265177,78.1710198067087,0.9025
Glencoe,4,59.8478965063624,0.0319917509887922,0.740951672942547,0.0567567347955486,548.603123311751,0.1169075,111.223125,0.83731364375,4.03578727265177,71.106755650931,0.857375
Round Cowal,1,-67.7660847576366,0.0550368678561831,0.936191425722831,0.143569292123629,531.395551632696,0.08,120,0.85,4.23588039729278,29.5040836005879,1
Round Cowal,2,-57.8199803399349,0.055362052195464,0.931350947158524,0.14071036889332,526.081596116369,0.0792,120.6,0.852125,4.23588039729278,30.1035412713915,1.05
Round Cowal,3,-47.7460784865162,0.0556888624564413,0.926522569790628,0.137858592971087,520.820780155205,0.078408,121.203,0.8542553125,4.23588039729278,30.7262703470445,1.1025
Round Cowal,4,-37.5327373011918,0.0560173067687235,0.921706263366151,0.135013946488659,515.612572353653,0.07762392,121.809015,0.85639095078125,4.23588039729278,31.3736507039189,1.157625
Round Cowal,5,-27.167396680832,0.0563473933025672,0.916901997707736,0.132176411622437,510.456446630117,0.0768476808,122.418060075,0.858531928158203,4.23588039729278,32.0471735107517,1.21550625
Round Cowal,6,-16.6364808114417,0.05667913026908,0.912109742713467,0.129345970593381,505.351882163816,0.076079203992,123.030150375375,0.860678257978598,4.23588039729278,32.7484526797431,1.2762815625
Round Cowal,7,-5.92528820696627,0.0570125259204254,0.907329468356683,0.126522605666898,500.298363342178,0.07531841195208,123.645301127252,0.862829953623545,4.23588039729278,33.4792377612329,1.340095640625
Sunshine,1,26143.1356476673,0.0550977352369045,0.644549763033175,0.001,530.938999897988,0.08,120,0.85,4.09299601670771,327.439681336617,1
Sunshine,2,3388.24362110856,0.0457566089228153,0.651161137440758,0.0060025,536.248389896968,0.092,117,0.84575,4.09299601670771,327.439681336617,0.95
Sunshine,3,1381.08006676396,0.0379567684505508,0.65778904028436,0.01101750625,541.610873795938,0.1043,114.075,0.84152125,4.09299601670771,327.439681336617,0.9025
Sunshine,4,663.364313661764,0.0314439016562099,0.664433512885071,0.016045050015625,547.026982533897,0.1169075,111.223125,0.83731364375,4.09299601670771,255.094001746449,0.857375
Sunshine,5,308.711987310618,0.0260056578829353,0.671094596667283,0.0210851626406641,552.497252359236,0.1298301875,108.442546875,0.83312707553125,4.09299601670771,194.117355718856,0.81450625
Warili,1,-88.031158237381,0.0552129129940276,0.962162162162163,0.20965250965251,531.445495037595,0.08,120,0.85,4.14529609536472,19.7722226279827,1
Warili,2,-79.5217446172352,0.0555389775589978,0.957256756756758,0.206628378378379,526.131040087219,0.0792,120.6,0.852125,4.14529609536472,20.0616010632084,1.05
Warili,3,-70.9819093456129,0.0558666724467928,0.952363614864866,0.203611807432433,520.869729686347,0.078408,121.203,0.8542553125,4.14529609536472,20.3588197935933,1.1025
Warili,4,-62.407655725054,0.0561960058090267,0.947482705827704,0.200602777913852,515.661032389484,0.07762392,121.809015,0.85639095078125,4.14529609536472,20.6642008574024,1.157625
Warili,5,-53.7947955227854,0.0565269858380719,0.942613999063135,0.197601270969067,510.504422065589,0.0768476808,122.418060075,0.858531928158203,4.14529609536472,20.9780841744365,1.21550625
Warili,6,-45.1389341728157,0.0568596207672622,0.937757464065477,0.194607267791644,505.399377844933,0.076079203992,123.030150375375,0.860678257978598,4.14529609536472,21.3008288046203,1.2762815625
Warili,7,-36.4354546394881,0.0571939188710985,0.932913070405313,0.191620749622165,500.345384066483,0.07531841195208,123.645301127252,0.862829953623545,4.14529609536472,21.6328143144119,1.340095640625
Warili,8,-27.679499801231,0.057529888465454,0.9280807877293,0.18864169774811,495.341930225819,0.0745652278325592,124.263527632888,0.864987028507604,4.14529609536472,21.9744422619641,1.40710042265625
Warili,9,-18.8659531962786,0.0578675379077813,0.923260585759977,0.18567009350374,490.38851092356,0.0738195755542336,124.884845271052,0.867149496078872,4.14529609536472,22.3261378132565,1.47745544378906
Warili,10,-9.98941795286574,0.0582068755973202,0.918452434295577,0.18270591826998,485.484625814325,0.0730813797986913,125.509269497408,0.86931736981907,4.14529609536472,22.6883515028742,1.55132821597852
Warili,11,-1.04419370447589,0.0585479099753068,0.913656303209838,0.179749153474305,480.629779556182,0.0723505660007044,126.136815844895,0.871490663243617,4.14529609536472,23.0615611547638,1.62889462677744
Aggregate,1,551.245275454155,0.0560387614266259,0.720496894409938,0.041407867494824,532.46878660872,0.08,120,0.85,4.03578727265177,97.4642626345403,1
Aggregate,2,334.251106160382,0.0465423657912326,0.727298136645963,0.0465113871635611,537.793474474807,0.092,117,0.84575,4.03578727265177,86.7698754814514,0.95
Aggregate,3,176.747899824114,0.0386128754356792,0.734116381987578,0.05162766563147,543.171409219555,0.1043,114.075,0.84152125,4.03578727265177,78.1710198067087,0.9025
Aggregate,4,59.8478965063624,0.0319917509887922,0.740951672942547,0.0567567347955486,548.603123311751,0.1169075,111.223125,0.83731364375,4.03578727265177,71.106755650931,0.857375
